duration,imdb_score,budget,gross,release_month
78,6.6,5.00E+07,58336565,2
99,5,3.50E+07,19294901,2
124,5.6,9.80E+07,11000000,12
95,6.8,7500000,NA,10
91,6.3,7.00E+06,7455447,6
91,5.3,3500000,96793,1
123,4.1,1420000,NA,6
117,7,NA,821997,11
96,6.1,5.00E+07,150315155,12
89,2.9,6.00E+06,13235267,8
92,5.5,6.00E+07,104148781,5
117,8,5.00E+06,27296514,9
91,5.2,1.70E+07,NA,9
99,5.7,NA,1007535,4
88,3.5,2.50E+07,25615792,5
140,8,12800000,4157491,5
97,6.8,NA,565592,5
236,8,2.20E+07,184208848,11
89,2.8,1.20E+07,NA,10
119,7.7,1.40E+07,34700000,12
106,7.1,1.00E+07,5348317,3
108,5.8,1.16E+08,67155742,2
118,6.6,1.50E+07,9059588,12
111,7.7,2.70E+07,14337579,10
113,6.2,1.00E+08,79711678,5
103,5.6,3.00E+07,25472967,6
103,5.4,10600000,22160085,10
96,4.9,1.10E+07,32131483,8
103,5.1,NA,793352,4
143,6.2,2.50E+07,5000000,1
293,8.4,1.40E+07,11433134,9
85,2.7,2.00E+07,48546578,2
101,6.3,5.50E+07,98711404,4
100,7.2,3.00E+06,11694528,9
110,7.4,2.60E+07,58885635,3
130,7.6,1.70E+08,208543795,6
88,4.8,3500000,NA,6
87,7.2,3500000,NA,4
102,6.6,3400000,NA,3
98,6.5,2.00E+07,29975979,1
114,5.8,8.00E+07,32885565,7
94,8,3.00E+06,NA,9
107,5.9,6.00E+07,82670733,6
102,7.7,6900000,7993039,9
125,6.6,2.00E+07,13337299,7
87,6.1,5.00E+06,NA,2
90,7.7,695393,6013,9
118,6.5,3.00E+07,10880926,3
96,6,1.40E+07,15062898,8
122,7.6,1.10E+07,39025000,12
128,8,16400000,95860116,6
95,6.3,1.20E+07,65804,10
87,7.2,NA,NA,3
108,8.1,5.80E+07,363024263,2
105,7.8,NA,1340891,5
108,6.3,2.50E+07,80014842,2
102,6.6,5.00E+07,23106,1
87,7.4,9.00E+06,8579684,2
104,6.4,5.50E+07,58422650,7
111,6.4,4.50E+07,36064910,8
80,6.2,3.00E+05,NA,4
111,6.8,2.00E+07,9525276,8
109,6.4,5.50E+07,8355815,3
88,7.1,5.00E+05,151389,10
93,4.9,NA,35092918,12
96,7.4,2.00E+07,10569071,8
95,4.6,5.00E+06,NA,2
105,5.8,6.00E+07,73648142,7
120,6.1,7.50E+07,140459099,5
106,6,4.50E+07,11146409,1
88,4.3,1750000,NA,3
95,6.8,3500000,37606,9
112,7.2,NA,31973840,2
94,4.4,4.00E+07,511920,12
118,6.2,3.00E+07,30523568,6
105,6.4,2.60E+07,30659817,10
83,5.3,3.00E+06,NA,2
109,7,1100000,NA,5
112,6.6,2.20E+07,36020063,5
90,6.2,2.00E+06,99147,6
104,6,4.00E+06,143653,7
104,7.2,7.00E+06,25625110,8
87,7.7,6.90E+07,251501645,7
98,7.5,7.60E+07,368049635,6
NA,8.1,NA,NA,12
93,5.8,1.00E+07,NA,7
87,4.6,5.00E+05,1332,4
104,6.5,8.00E+05,144583,3
95,6.8,1.50E+07,4193025,8
83,4.6,2.20E+07,22264487,8
88,5.7,1.70E+07,65535067,12
96,5.6,1.00E+07,6044618,5
80,6.3,1.00E+07,33583175,1
89,4,7.00E+06,15818967,1
120,6.7,7200000,43800000,12
116,5.6,5500000,50382128,2
94,6.2,1.50E+07,64001297,3
94,6.4,2.20E+07,49002815,8
99,6.6,2.10E+07,52691009,3
95,5.7,2.00E+06,952620,9
94,6.1,1.30E+07,6241697,8
105,6.1,1.00E+08,103738726,6
98,5.6,1.70E+07,22734486,9
103,4.7,5.80E+07,29580087,12
133,6.1,1.42E+08,160201106,11
131,8.2,2.80E+07,81350242,7
124,7.1,7.00E+07,117541000,7
82,5.9,5.00E+06,9628751,3
110,7.2,5.00E+06,14100000,4
114,5.9,NA,72980108,7
99,7.3,NA,110000,9
82,6.5,127500000,137748063,5
109,6,11500000,35537564,1
97,7.4,1.00E+07,8111360,9
82,6.4,1.30E+07,9975684,6
88,1.9,2.50E+07,14174654,8
128,6,5.50E+07,83000000,12
112,8,3.00E+07,115646235,8
105,6.9,2.00E+07,80050171,4
84,5.5,1.50E+07,17411331,7
139,6.7,8.50E+07,150832203,3
116,6,2.70E+07,69586544,6
165,8.5,1.00E+08,162804648,12
120,7.9,6500000,27545445,6
120,5.9,2300000,12985267,3
87,4.8,2.10E+07,480314,9
85,5.3,71500000,144156464,12
200,8,1.10E+07,111722000,12
130,7.4,1.00E+07,30651422,11
91,7.7,NA,1293295,1
113,6.9,3.70E+07,72279690,9
107,6.4,3.60E+07,42019483,9
93,6.2,NA,518134,11
89,5.5,5.30E+07,45207112,10
127,6,5.00E+07,10137232,9
99,5.6,2.50E+07,24042490,10
113,6.3,5.00E+07,54997476,9
90,6.6,3.00E+06,24475193,7
97,6.8,2.50E+07,22200000,10
87,5.9,NA,NA,4
99,5.2,9.00E+05,18378,7
147,7.8,3.50E+07,41954997,2
133,8.1,4500000,727883,1
109,6.9,2686585,NA,6
77,2.8,2.00E+07,7382993,2
113,5.2,6.00E+07,28031250,10
113,6,3.00E+07,10955425,3
103,7.3,7.00E+06,17474107,6
110,5.5,1.50E+07,30102717,7
105,6.4,7.00E+07,116735231,9
88,5.3,2.40E+07,20218,1
104,7.5,2.00E+07,33422556,11
77,5,5.00E+06,19421271,3
108,6.5,8.00E+06,568695,5
93,6.5,NA,9609,9
87,5.4,3.00E+07,64172251,2
91,4.9,9.00E+06,20035310,1
87,4.6,7.20E+07,112950721,6
110,7.3,1100000,16067035,10
95,8.5,1800000,NA,1
99,4.9,2.80E+07,33000377,12
92,6.3,7.00E+07,55942830,10
73,7,1600000,39659,2
110,6.8,2.50E+07,28831145,4
99,6.6,3.00E+07,42057340,3
88,6.4,4.00E+07,NA,5
104,6.1,6.00E+07,30063805,3
103,6.4,5.70E+07,51317350,5
108,6.7,1.80E+07,6000000,6
84,6,5.50E+07,21283440,9
97,7,1.00E+06,464655,1
136,5.5,6.80E+07,33685268,3
130,6.5,7.00E+07,103338338,12
92,6.4,2.00E+06,7680,10
95,7.1,3.50E+07,13401683,9
104,7.1,6500000,31899000,6
102,5.7,4.00E+07,32853640,3
90,6.1,NA,342936,8
100,7.8,1.50E+07,35054909,8
104,5.5,5.00E+07,10706786,2
92,4.3,1.20E+07,NA,5
91,5.7,8.00E+06,17843379,10
116,4.5,7.20E+07,32616869,4
98,6.8,NA,238774,4
99,7.4,7500000,106593296,12
97,6.5,1.00E+07,10561238,7
96,5.6,1.60E+07,15427192,3
118,5.7,2.00E+07,56398162,12
77,3.8,2.20E+07,9694105,8
95,6.6,6.50E+07,100448498,11
144,6.9,8.00E+06,20400000,12
112,6,1.50E+07,4734235,9
128,6.2,NA,563699,4
100,7.3,1.20E+07,860002,4
109,5.7,3.50E+07,86208010,11
85,3.4,1.90E+07,26096584,6
177,6.6,4.00E+07,27400000,12
105,4.9,1.50E+07,NA,1
89,5.8,4.00E+07,9652000,9
125,6.2,6.00E+07,40559930,3
94,4.4,5.00E+06,NA,12
107,5.1,2.00E+07,1183354,3
111,5.4,1800000,NA,2
89,6.6,3.00E+06,2223990,4
120,7.9,10500000,434949459,4
118,6.6,8.00E+07,101111837,9
110,7.8,NA,528972,4
91,5.8,1.30E+07,38916903,6
96,6.9,1900000,4170647,5
96,7.7,2.50E+07,17114882,9
92,7.1,8.00E+06,58401464,9
124,6.7,NA,188870,8
97,6.7,NA,2656324,1
140,5.7,6.00E+07,80574010,8
93,6.1,1800000,NA,6
127,7.9,1.80E+07,5887457,9
106,7.5,2.30E+07,15785632,2
83,5.7,1500000,1521,4
90,4.8,NA,NA,10
91,6.8,NA,5824,9
117,6.6,8.00E+07,43290977,1
113,7.9,1.78E+08,100189501,5
82,6.3,1.00E+07,131617,8
122,6.1,5.50E+07,22362500,3
105,7.9,2.00E+07,56362352,12
120,7.3,4.00E+07,81593527,2
99,5.4,3.00E+07,17266505,7
81,6.9,7000,2040920,9
103,7.3,8.00E+06,14879556,4
100,4.8,4.30E+07,24407944,1
97,6.9,3.30E+07,173381405,10
124,7.5,2.50E+07,30012990,9
114,6.9,5.50E+07,16264475,9
123,6.4,5.70E+07,26838389,10
96,6.3,3.50E+07,22913677,4
89,7.6,15500000,313436,3
146,7.9,3.00E+06,NA,6
97,6.5,1.00E+07,NA,3
109,6.6,1.15E+08,93050117,8
103,5.5,1.20E+07,28435406,10
107,7.1,8.50E+07,127706877,11
121,5.7,8.30E+07,66862068,11
108,7,1.00E+07,11703287,12
109,7.7,7.00E+06,40983001,9
114,6.7,1.10E+08,61656849,10
104,6.3,2.00E+07,23393765,7
131,7.6,6.80E+07,51396781,3
140,7.3,9.00E+07,111544445,11
115,5.6,3.80E+07,39177215,5
93,7.1,8.00E+06,17536788,9
90,6.6,5.00E+05,NA,10
88,5.2,8.00E+05,NA,3
161,7.3,1.30E+07,336467,5
113,6.2,6.60E+07,87704396,4
99,4.8,4.00E+07,12181484,4
102,6.7,1.00E+08,107515297,5
93,2.3,2.00E+07,39737645,1
107,7.5,2.00E+07,1190018,12
104,5.1,1.00E+08,75030163,12
115,6.1,1.00E+08,101228120,6
89,7.4,20000,NA,3
131,7.3,5.20E+07,125548685,3
112,7.6,8.00E+06,36500000,6
101,5.7,5.00E+07,25407250,8
106,7.2,6.00E+06,25244700,5
89,5.9,4.00E+07,57011847,2
98,6.3,2500000,NA,5
90,5.2,NA,169719,10
115,6.7,5.00E+07,25121291,10
120,6.6,1.70E+07,106869,10
108,8.3,2.00E+07,34126138,3
85,6.7,6500000,70527,10
93,6.6,2.50E+07,17718223,2
96,5.4,1.75E+08,100289690,6
109,7.3,6.00E+06,14821531,9
130,6.7,6.00E+07,26616590,8
121,7.1,5.50E+07,43247140,3
99,7.2,2.10E+07,8855646,12
101,6.8,2.00E+07,9714482,12
97,6.4,5.00E+06,2711210,10
87,6.6,1.00E+05,NA,11
96,6.5,1.70E+07,54239856,4
37,7.8,3600000,5923044,3
135,6.3,5.50E+07,49994804,12
81,6.4,NA,NA,6
108,7.7,1.50E+07,25440971,1
101,6.9,NA,NA,6
133,6.4,5.50E+07,68750000,3
115,6.8,3.10E+07,2840417,4
101,5.5,3.30E+07,51758599,3
150,6.1,1.40E+08,65007045,12
118,3.7,1.40E+07,NA,6
125,5.1,5.00E+07,41814863,8
103,7.2,2.00E+06,5132222,9
92,6.2,8.00E+06,10814185,9
106,6.5,3.10E+07,11854694,1
118,6.1,3.80E+07,17305211,9
76,3.8,NA,NA,12
93,4.5,4.00E+07,4835968,11
129,6.9,4.00E+07,31836745,12
101,6.1,2.00E+07,53146000,1
109,4.9,1.50E+07,16459004,9
100,5.7,2500000,71904,8
159,7.3,6.50E+07,55637680,7
145,6.4,1.10E+07,NA,4
84,5.8,NA,25918,1
138,7.3,8.00E+07,112225777,6
111,6.7,1.00E+05,10174663,9
99,6.4,7.00E+06,1654367,12
122,7.5,6.00E+06,119078393,6
95,5.6,5.00E+07,88658172,3
108,6.8,2.20E+07,9528092,11
115,7,550000,NA,11
116,6.9,1.00E+07,NA,10
91,5.9,1.30E+07,2104000,4
103,5.8,4500000,8691,9
123,5,1.80E+07,22452209,1
120,6.8,4490375,NA,4
120,7.8,2280000,76400000,11
74,7.3,8.00E+07,60507228,12
100,4.3,1.20E+08,56114221,8
87,7.8,4.00E+07,20999103,10
107,7.4,13500000,15854988,9
80,4.2,NA,NA,12
103,3.3,5.00E+06,16066,1
132,7.3,1.25E+08,209805005,4
90,7.2,4500000,NA,8
98,6.5,2.40E+07,23225911,11
93,4.3,2.60E+07,48114556,12
97,7.6,2500000,NA,4
119,6.9,1.40E+07,156645693,9
118,7.7,18500000,10562387,5
95,5.2,1.00E+06,NA,10
95,6.4,3200000,NA,11
116,7,NA,819852,11
114,6.3,3.50E+07,6592103,11
87,6.8,1500000,NA,10
104,6.2,3.00E+07,42071069,4
181,8,9.00E+06,50000000,11
93,6.8,8.00E+06,298110,9
117,6.9,6.00E+06,NA,9
92,3.5,5.00E+06,11675178,1
129,4.1,4.00E+07,166147885,2
151,8.8,6.30E+07,37023395,10
80,5.7,427000,2833383,4
98,6.7,2.30E+07,53302314,3
90,6.2,2.60E+07,46455802,1
86,5.8,2.50E+07,54098051,2
92,5.9,4.00E+07,42575718,8
106,6.4,1.37E+08,32131830,7
125,7.1,1.30E+07,1172769,3
136,7.3,4.30E+07,51768623,12
100,8.2,9.40E+07,380838870,5
101,7.8,2.50E+07,51676606,10
136,5.9,2.10E+07,46700000,6
122,6.5,5.00E+05,33451479,9
114,6,1.50E+07,15100000,5
118,6.2,NA,NA,1
105,5.8,5.00E+07,48745150,2
93,7.7,1.40E+07,NA,10
134,5.9,5.50E+07,37600435,7
94,5.5,3.00E+05,40542,8
123,7.3,NA,373060,5
167,6.2,1.00E+06,610991,9
135,7.1,9.00E+07,33574332,10
111,6.4,2.00E+07,NA,9
119,7,2.00E+07,4234040,9
95,6.1,4.00E+06,94900000,4
115,6.6,2.60E+07,61490000,8
112,6.4,1.50E+07,4485485,9
105,5.3,2.50E+07,17100000,7
95,6.2,1.50E+07,20998709,10
138,7.3,3.10E+07,93749203,11
115,5.7,3.50E+07,14587732,1
113,6.1,4.50E+07,21009180,12
98,6.2,5.50E+07,89706988,9
90,7.7,1.40E+07,1752214,8
95,5.2,25530000,20047715,8
92,6.8,7.00E+06,14891000,3
110,7.1,2.90E+07,NA,5
90,5.2,8.00E+07,92969824,11
85,6.7,1.49E+08,64459316,10
140,6.6,6.00E+07,13082288,9
120,6.9,20000,NA,1
105,6.6,50100000,53846915,10
83,7.1,913000,NA,4
94,7.9,NA,4417124,9
91,1.7,6.50E+07,NA,6
112,5.6,7.00E+07,70224196,2
84,4.3,2.00E+06,6026908,4
107,6.5,8200000,80000000,10
88,6,850000,1243961,8
133,6,NA,37721949,11
137,6.5,5.00E+07,35168395,9
86,6.3,1.20E+07,5542025,11
127,6.8,2.80E+07,62300000,6
126,6.3,5.00E+06,NA,11
103,5.2,1300000,NA,5
118,7.2,3.00E+07,62877175,4
142,8.8,5.50E+07,329691196,7
90,6.3,1.10E+07,NA,2
100,5.9,3.00E+06,73678,1
95,5.9,8.00E+06,6739141,9
108,6,1500000,NA,12
109,6.9,4.50E+07,74484168,8
88,5.6,8.00E+07,120136047,11
97,7.3,NA,304137,5
110,6.7,4.00E+06,4301331,12
117,7.1,4500000,52700832,3
100,7.3,1.10E+07,13103828,11
86,7.4,NA,4063238,5
87,7,3.90E+07,35287788,12
93,6.4,3.00E+06,100675,10
90,6.5,6.00E+06,NA,4
97,6.1,2.60E+07,110222438,8
93,4.9,8500000,34872293,9
87,4.5,1.50E+07,14249005,4
97,5.8,3.00E+07,82163317,8
91,5.9,5.50E+07,55747724,10
139,6.7,5.00E+07,20389967,6
94,4.2,NA,140987,12
94,6.2,14500000,NA,1
123,7.5,2.10E+07,36581633,1
103,6.5,7.00E+06,532988,10
102,6.9,3.00E+06,NA,8
99,6.4,2.00E+06,NA,5
116,7.5,2.00E+06,NA,5
118,7.3,3.10E+07,44983704,4
123,7.4,1.20E+07,25776062,8
97,7.3,3500000,27900000,4
85,5.8,2.00E+07,32983713,11
87,6.1,1250000,19100000,5
91,5.7,4.00E+06,36200000,8
88,5.3,2800000,19170001,5
100,4.5,5.00E+06,14343976,7
92,4.7,2200000,21300000,3
97,5.9,1800000,32600000,4
109,6.6,3.50E+07,55802754,7
88,5.9,6500000,13367101,9
106,6.4,3.00E+07,18298649,8
92,5.9,1100000,1400000,9
108,7.3,1.90E+07,25753840,1
122,6.8,3.50E+07,31598308,10
118,7.8,1650000,NA,8
90,2.1,1.20E+07,4922166,6
92,6.5,5.20E+07,23324666,2
115,7.5,2.00E+06,24800000,10
122,7.7,3.50E+07,18593156,10
102,7.6,1.50E+08,400736600,7
97,7.2,1.00E+06,2508841,8
85,7.5,9.00E+05,16097842,7
112,7.6,2500000,173783,1
134,4.7,NA,NA,6
101,4.7,2.00E+06,2506446,8
86,5.4,1.40E+07,9402410,10
90,6.1,1.00E+08,110332737,12
111,6.5,1.50E+07,1294640,10
85,6.4,NA,NA,9
153,6.4,7.50E+07,51814190,7
122,6.5,16800000,220914,8
140,7.2,1.90E+08,350034110,4
92,3.8,3.50E+07,17596256,4
134,7.6,6.80E+07,85707116,10
88,5.1,1.50E+08,119420252,7
125,5.8,5.00E+07,48154732,8
122,5.8,1.30E+08,122512052,3
118,5.8,1.75E+08,150167630,8
99,6.4,NA,NA,2
95,3.4,NA,NA,6
102,7.3,4.50E+07,71423726,12
95,5.8,5.00E+07,20488579,9
240,8.1,2.20E+07,NA,11
216,7.5,1.00E+08,77679638,12
113,6.7,6.00E+07,45996718,1
102,7.6,2500000,26781723,7
80,5,3.50E+07,75367693,6
106,7.8,3.60E+07,12339633,9
118,7.4,2.00E+06,NA,11
89,6.1,NA,113155,9
93,5.7,3.20E+07,NA,3
92,5.4,5.50E+07,105263257,7
90,7.5,42000,241816,10
113,5.9,2.00E+07,18882880,5
103,6.2,3500000,236266,1
102,5.1,4.00E+07,14967182,3
107,6,4.00E+07,90353764,3
114,6.4,NA,60923325,6
100,7.1,7500000,9176553,1
120,6.8,2400000,5731103,10
139,6.9,3.00E+07,30513940,8
87,5.8,2.20E+07,11560259,3
117,5,4.00E+07,30981850,11
105,6.9,30250000,72077000,10
110,6.5,8.00E+07,130313314,6
90,4.4,1.80E+07,10494494,8
271,7.7,2.50E+07,10769960,10
127,7,2.20E+07,217631306,1
116,7.5,NA,3300230,9
123,5.2,1.10E+08,115802596,2
96,4.3,5.70E+07,51774002,12
91,5.5,3.50E+07,30079316,10
102,6.7,2.00E+07,13214030,9
111,7.4,7.00E+06,6200756,7
116,5.5,1.44E+08,118099659,7
98,4.9,2.80E+07,8434601,8
130,6.7,3.60E+07,13052741,12
121,2.4,5.40E+07,5660084,8
108,5,1.20E+07,4903000,3
100,7,NA,11634362,8
127,7.3,2.40E+07,28871190,12
104,3.5,5.00E+05,NA,3
171,8.5,1.03E+08,187670866,5
100,7.8,12500000,10725228,9
104,2.1,2.20E+07,4273372,9
122,7.9,1.80E+07,26830000,12
118,7.2,NA,42643187,1
102,7.3,6500000,16842303,4
105,3.9,2450000,178739,5
120,3.4,5.00E+06,20773070,4
93,5.4,NA,NA,8
280,6.3,5.60E+07,12870569,2
105,7.5,3500000,6390032,1
126,5.5,1.40E+08,31141074,2
102,4.8,2.50E+07,14334645,4
102,6.3,3.20E+07,17797316,8
130,7.2,5.80E+07,106635996,11
110,7.8,3.00E+06,51100000,9
149,8.1,6.10E+07,167735396,10
127,6.5,9.00E+07,101643008,6
226,8.2,3977000,198655278,12
92,6.2,1.50E+07,23091,12
87,5.1,1.70E+07,37566230,10
110,5.4,NA,35010192,2
86,6.5,NA,15542,10
84,5.2,1.00E+07,NA,3
102,6.4,NA,316842,4
101,5.6,2.50E+07,35000629,9
121,7.3,1.30E+07,123922370,12
93,7.5,7500000,31501218,9
126,8.3,1.00E+07,138339411,12
103,6.4,5.80E+07,80021740,8
96,4.7,1.00E+05,11798,11
131,7.3,19800000,41300105,11
90,5.9,2.40E+07,5108820,4
98,5.8,4.00E+07,59588068,11
94,6.3,4.00E+06,NA,8
103,5.7,3.00E+07,NA,5
102,6.1,NA,2507106,10
95,6.2,9.00E+06,2955039,6
96,4.5,250000,NA,5
116,8.2,3.30E+07,148085755,12
88,6.1,NA,NA,6
90,7,NA,6088249,9
92,6.1,1.00E+05,NA,9
91,7.8,1.00E+08,274084951,9
110,7.2,6.00E+06,181360000,7
123,5.6,2.00E+08,116593191,6
95,7.1,5.00E+06,3219029,4
115,6.9,1.00E+08,35024475,3
106,7.2,1.10E+07,148170000,6
106,6.3,5.00E+07,41482207,6
125,6.9,3.00E+07,38432823,9
90,6.1,NA,NA,8
86,6.5,5.00E+05,1114943,6
107,7.4,1.50E+07,28014536,4
101,8.1,14600000,70906973,2
102,8.2,2.00E+06,NA,2
102,6,8.00E+07,162001186,6
101,5.4,8.00E+07,133668525,7
113,6.4,4.00E+07,29802761,12
121,8.1,1.70E+08,333130696,7
105,5.9,3.50E+07,67962333,3
85,4.9,1.12E+08,42776259,1
101,5.7,1.00E+07,1631839,2
89,6.5,1.00E+07,NA,4
93,6.3,NA,NA,8
93,8.1,1.60E+07,NA,6
107,6.2,2.00E+07,7564000,9
106,6.4,2.20E+07,29997095,2
117,6.7,7.50E+07,118823091,7
82,6.7,8.00E+06,17278980,1
106,7.2,7.00E+05,2694973,8
98,4.6,1.30E+07,15361537,11
111,5.9,3.60E+07,45045037,2
101,7.9,3.00E+05,47000000,5
88,5.9,5.00E+06,17768000,10
119,4.9,1.50E+07,33386128,10
98,4.6,2500000,14400000,10
94,4.1,1.50E+07,30259652,7
93,4.9,5.00E+06,15126948,9
150,7.8,1.80E+07,4414535,5
92,6.4,9.00E+06,4881867,1
102,6.4,1.50E+08,227946274,7
105,7.2,2.00E+07,NA,8
94,4.7,6.00E+07,36037909,2
111,6.8,3.00E+07,40247512,4
102,4.2,3.00E+07,79566871,4
131,6.2,5.00E+07,27667947,2
98,6.1,5.00E+07,55682070,1
75,4.5,4.70E+07,15519841,9
134,7.8,3.00E+06,3000000,10
82,5.6,70000,30084,6
108,6.5,1.00E+08,197992827,11
92,7,1.20E+07,38624000,2
98,6.3,1700000,1943649,12
104,7.1,950000,1007962,1
97,5.8,7.00E+07,19819494,1
106,6.3,2.10E+07,40219708,9
112,5.6,1.00E+06,96734,6
98,6,2.30E+07,7434726,8
102,6.6,1.20E+07,38087366,4
88,7.1,9.00E+06,18225165,5
121,7,3500000,NA,2
100,5.9,1.30E+07,26539321,7
97,7.2,7300000,1818681,11
174,7.4,1.00E+08,261970615,11
157,7.6,1.50E+08,289994397,11
153,7.5,2.50E+08,301956980,7
138,7.5,1.50E+08,292000866,6
142,7.8,1.30E+08,249358727,5
116,7,2.00E+06,3335839,9
125,6.3,6.00E+07,19076815,2
99,4.9,5500000,56007,1
93,5.7,1500000,NA,4
84,6.5,650000,2301777,9
93,3.4,60000,NA,10
93,5.8,2.30E+07,18934858,11
129,6.4,4.00E+07,93952276,2
136,6.9,2.50E+07,21554585,5
95,5.4,35200000,37788228,1
86,5.4,1.40E+07,10397365,5
78,4.2,1.00E+07,NA,12
123,6.2,3.50E+07,40334024,9
101,6.9,3.10E+07,24185781,9
325,6.8,4.40E+07,1500000,11
108,7.4,5.00E+06,3049135,9
90,6.7,9300000,NA,8
95,7.8,6.00E+06,3029081,7
93,6.1,1.90E+07,NA,11
89,5.1,8.00E+06,4692814,10
105,6.8,1.00E+06,NA,8
96,7.8,3950000,NA,11
132,6.8,6.60E+07,59035104,4
120,7,8.50E+07,75754670,7
86,7,1.00E+06,14564027,9
137,7.7,9.00E+06,10161099,10
126,8,2.30E+07,25556065,12
101,4.7,5.00E+07,66002004,6
101,6,1.00E+08,72660029,7
105,6.5,4.20E+07,45290318,10
129,6.5,5.00E+07,32741596,10
80,7.9,3.10E+07,84961,1
106,7.1,7.00E+06,382946,1
76,5.9,3.00E+06,13684949,6
136,6.7,1.00E+08,67286731,3
96,7.2,NA,NA,7
101,5.9,3.00E+07,51097664,6
94,6.7,3400000,NA,12
115,6.3,4.20E+07,41543207,4
113,7.6,2.00E+07,27277055,3
86,6.2,1.00E+07,226792,7
85,8.1,750000,NA,3
105,7.6,5500000,NA,4
87,5.4,NA,NA,3
98,5.2,4200000,NA,1
111,4.8,7.00E+06,NA,8
112,4.5,1.10E+07,90556401,10
109,6.3,NA,841206,8
110,7.2,1.60E+07,5900000,3
101,4.6,1.50E+07,12801190,9
97,6.3,1.40E+07,NA,2
92,6.9,1.10E+07,NA,6
118,6.6,7.00E+07,177575142,2
94,6.3,2.40E+07,39687528,11
96,5.8,1.00E+06,NA,1
86,6.1,3.00E+06,703002,5
96,6.7,2.80E+07,39514713,7
140,6.6,3.50E+07,24276500,12
117,7.1,2.00E+07,67325559,4
119,5.7,9.50E+07,73209340,8
112,6.6,1.60E+07,4839383,5
116,5.3,7.50E+07,30013346,6
81,7,1.00E+05,5228617,3
114,4.9,6.00E+07,12065985,10
115,7.1,NA,NA,7
94,6.7,1.35E+08,177343675,3
103,7.5,1.80E+07,285761243,11
120,6.6,1.80E+07,173585516,11
103,6.6,2.00E+07,17518220,7
91,5,1.50E+07,10443316,11
76,5.4,1.10E+08,50026353,4
113,6,1200000,2859955,4
100,6.5,2.20E+07,19783777,11
94,5.3,2.50E+07,30222640,11
80,6.5,17500000,51053787,12
142,6.7,7.00E+07,119654900,12
170,8.3,7.00E+05,7830611,9
91,5.6,1.50E+07,8080116,5
95,5.5,6.30E+07,108012170,3
114,5.9,3.00E+07,60033780,5
100,6.3,3.00E+07,63536011,5
106,6.9,3.50E+07,117528646,7
116,6.3,4.20E+07,54414716,11
113,6.6,5.20E+07,34636443,3
93,5.9,4800000,47277326,1
94,5.4,1.00E+07,17544812,6
121,7.9,8.00E+06,23618786,2
87,5.1,3.50E+07,34507079,5
88,6.7,NA,13920741,8
101,6.4,3.60E+07,50213619,3
99,5.1,1.40E+07,12282677,2
100,5.4,3.50E+07,73023275,1
121,8.1,17500000,23472900,9
91,7.1,8.50E+07,148313048,9
89,6.7,8.00E+07,169692572,9
101,5.6,6900000,31607598,9
105,6,7.00E+06,12583510,4
96,7,6.00E+06,371081,4
126,7.6,1.50E+07,13005485,12
108,5.3,3.00E+07,32048809,4
93,5.6,1.90E+07,40846082,10
94,5.1,5.00E+06,19281235,10
107,6.8,350000,NA,9
121,5.3,1.20E+08,30212620,12
118,7.8,1250000,NA,10
93,6.2,1.20E+07,31155435,12
94,3.3,NA,7070459,1
124,5.5,2.00E+07,37672350,8
110,6,1.23E+08,260031035,11
93,5.3,NA,13960203,8
110,6.1,3.80E+07,46813366,1
101,5.7,1.60E+07,14108518,7
84,6.3,4.00E+06,NA,7
116,6.4,5.00E+07,105807520,2
110,6.5,2.70E+07,2775593,10
98,8.2,1.65E+08,217387997,3
102,7.9,1.45E+08,176997107,6
110,4.6,3.50E+07,16295774,8
140,7.5,NA,25967000,3
112,7.9,2500000,NA,5
100,5.7,7.00E+07,17218080,5
126,7.5,1.70E+08,73820094,11
138,5.7,1.37E+08,132122995,6
NA,2.8,NA,NA,5
99,7.1,2200000,104257,6
86,6.5,5.00E+05,334041,1
116,7.4,8.00E+06,22201636,7
135,7,2.00E+07,4001121,10
104,7.2,1.50E+08,256386216,12
109,6.1,6.00E+07,55092830,2
132,7.6,2.20E+07,40270895,12
92,5.2,1.80E+07,NA,4
89,4.9,2.40E+07,9639242,9
114,5.6,3.40E+07,6543194,5
93,3.9,3500000,10305534,5
107,6.7,2.20E+07,12784713,9
105,5.3,NA,1425993,9
99,5.6,1.70E+07,72219395,10
102,6.6,1.30E+07,2035566,1
102,5.3,1.80E+07,14793904,7
86,5.4,NA,33598,1
105,7.1,4.00E+07,71347010,3
111,5.4,1650000,2580,10
75,7,250000,203134,8
106,7.3,NA,334658,7
105,6.3,2.00E+06,92401,6
97,5.4,7.00E+07,33105600,10
100,4.6,2.40E+07,39989008,11
94,5.5,NA,12550242,3
80,6.2,1500000,194568,1
92,5.1,6.50E+07,19059018,1
115,7.1,1.20E+08,144795350,7
103,7.6,5.90E+07,176387405,3
88,6.6,9.50E+07,161317423,6
94,7,9.00E+07,196573705,6
115,6.9,8.00E+07,195329763,3
98,6,NA,24381334,3
82,7.4,NA,3826455,10
91,7.3,3.00E+07,51475962,4
120,5.7,3.50E+07,134455175,2
84,6.6,NA,438653,9
92,6.2,2.00E+07,4002955,4
121,6.2,1.50E+07,12549485,8
107,6.8,1.10E+07,50461335,8
99,7,9.00E+06,4681503,9
119,6.2,NA,836641,5
111,7.3,4.00E+06,228524,9
