duration,imdb_score,budget
95,5.2,25530000
92,6.8,7.00E+06
110,7.1,2.90E+07
90,5.2,8.00E+07
85,6.7,1.49E+08
140,6.6,6.00E+07
120,6.9,20000
105,6.6,50100000
83,7.1,913000
94,7.9,NA
91,1.7,6.50E+07
112,5.6,7.00E+07
84,4.3,2.00E+06
107,6.5,8200000
88,6,850000
133,6,NA
137,6.5,5.00E+07
86,6.3,1.20E+07
127,6.8,2.80E+07
126,6.3,5.00E+06
103,5.2,1300000
118,7.2,3.00E+07
142,8.8,5.50E+07
90,6.3,1.10E+07
100,5.9,3.00E+06
95,5.9,8.00E+06
108,6,1500000
109,6.9,4.50E+07
88,5.6,8.00E+07
97,7.3,NA
110,6.7,4.00E+06
117,7.1,4500000
100,7.3,1.10E+07
86,7.4,NA
87,7,3.90E+07
93,6.4,3.00E+06
90,6.5,6.00E+06
97,6.1,2.60E+07
93,4.9,8500000
87,4.5,1.50E+07
97,5.8,3.00E+07
91,5.9,5.50E+07
139,6.7,5.00E+07
94,4.2,NA
94,6.2,14500000
123,7.5,2.10E+07
103,6.5,7.00E+06
102,6.9,3.00E+06
99,6.4,2.00E+06
116,7.5,2.00E+06
118,7.3,3.10E+07
123,7.4,1.20E+07
97,7.3,3500000
85,5.8,2.00E+07
87,6.1,1250000
91,5.7,4.00E+06
88,5.3,2800000
100,4.5,5.00E+06
92,4.7,2200000
97,5.9,1800000
109,6.6,3.50E+07
88,5.9,6500000
106,6.4,3.00E+07
92,5.9,1100000
108,7.3,1.90E+07
122,6.8,3.50E+07
118,7.8,1650000
90,2.1,1.20E+07
92,6.5,5.20E+07
115,7.5,2.00E+06
122,7.7,3.50E+07
102,7.6,1.50E+08
97,7.2,1.00E+06
85,7.5,9.00E+05
112,7.6,2500000
134,4.7,NA
101,4.7,2.00E+06
86,5.4,1.40E+07
90,6.1,1.00E+08
111,6.5,1.50E+07
85,6.4,NA
153,6.4,7.50E+07
122,6.5,16800000
140,7.2,1.90E+08
92,3.8,3.50E+07
134,7.6,6.80E+07
88,5.1,1.50E+08
125,5.8,5.00E+07
122,5.8,1.30E+08
118,5.8,1.75E+08
99,6.4,NA
95,3.4,NA
102,7.3,4.50E+07
95,5.8,5.00E+07
240,8.1,2.20E+07
216,7.5,1.00E+08
113,6.7,6.00E+07
102,7.6,2500000
80,5,3.50E+07
106,7.8,3.60E+07
118,7.4,2.00E+06
89,6.1,NA
93,5.7,3.20E+07
92,5.4,5.50E+07
90,7.5,42000
113,5.9,2.00E+07
103,6.2,3500000
102,5.1,4.00E+07
107,6,4.00E+07
114,6.4,NA
100,7.1,7500000
120,6.8,2400000
139,6.9,3.00E+07
87,5.8,2.20E+07
117,5,4.00E+07
105,6.9,30250000
110,6.5,8.00E+07
90,4.4,1.80E+07
271,7.7,2.50E+07
127,7,2.20E+07
116,7.5,NA
123,5.2,1.10E+08
96,4.3,5.70E+07
91,5.5,3.50E+07
102,6.7,2.00E+07
111,7.4,7.00E+06
116,5.5,1.44E+08
98,4.9,2.80E+07
130,6.7,3.60E+07
121,2.4,5.40E+07
108,5,1.20E+07
100,7,NA
127,7.3,2.40E+07
104,3.5,5.00E+05
171,8.5,1.03E+08
100,7.8,12500000
104,2.1,2.20E+07
122,7.9,1.80E+07
118,7.2,NA
102,7.3,6500000
105,3.9,2450000
120,3.4,5.00E+06
93,5.4,NA
280,6.3,5.60E+07
105,7.5,3500000
126,5.5,1.40E+08
102,4.8,2.50E+07
102,6.3,3.20E+07
130,7.2,5.80E+07
110,7.8,3.00E+06
149,8.1,6.10E+07
127,6.5,9.00E+07
226,8.2,3977000
92,6.2,1.50E+07
87,5.1,1.70E+07
110,5.4,NA
86,6.5,NA
84,5.2,1.00E+07
102,6.4,NA
101,5.6,2.50E+07
121,7.3,1.30E+07
93,7.5,7500000
126,8.3,1.00E+07
103,6.4,5.80E+07
96,4.7,1.00E+05
131,7.3,19800000
90,5.9,2.40E+07
98,5.8,4.00E+07
94,6.3,4.00E+06
103,5.7,3.00E+07
102,6.1,NA
95,6.2,9.00E+06
96,4.5,250000
116,8.2,3.30E+07
88,6.1,NA
90,7,NA
92,6.1,1.00E+05
91,7.8,1.00E+08
110,7.2,6.00E+06
123,5.6,2.00E+08
95,7.1,5.00E+06
115,6.9,1.00E+08
106,7.2,1.10E+07
106,6.3,5.00E+07
125,6.9,3.00E+07
90,6.1,NA
86,6.5,5.00E+05
107,7.4,1.50E+07
101,8.1,14600000
102,8.2,2.00E+06
102,6,8.00E+07
101,5.4,8.00E+07
113,6.4,4.00E+07
121,8.1,1.70E+08
105,5.9,3.50E+07
85,4.9,1.12E+08
101,5.7,1.00E+07
89,6.5,1.00E+07
93,6.3,NA
93,8.1,1.60E+07
107,6.2,2.00E+07
106,6.4,2.20E+07
117,6.7,7.50E+07
82,6.7,8.00E+06
106,7.2,7.00E+05
98,4.6,1.30E+07
111,5.9,3.60E+07
101,7.9,3.00E+05
88,5.9,5.00E+06
119,4.9,1.50E+07
98,4.6,2500000
94,4.1,1.50E+07
93,4.9,5.00E+06
150,7.8,1.80E+07
92,6.4,9.00E+06
102,6.4,1.50E+08
105,7.2,2.00E+07
94,4.7,6.00E+07
111,6.8,3.00E+07
102,4.2,3.00E+07
131,6.2,5.00E+07
98,6.1,5.00E+07
75,4.5,4.70E+07
134,7.8,3.00E+06
82,5.6,70000
108,6.5,1.00E+08
92,7,1.20E+07
98,6.3,1700000
104,7.1,950000
97,5.8,7.00E+07
106,6.3,2.10E+07
112,5.6,1.00E+06
98,6,2.30E+07
102,6.6,1.20E+07
88,7.1,9.00E+06
121,7,3500000
100,5.9,1.30E+07
97,7.2,7300000
174,7.4,1.00E+08
157,7.6,1.50E+08
153,7.5,2.50E+08
138,7.5,1.50E+08
142,7.8,1.30E+08
116,7,2.00E+06
125,6.3,6.00E+07
99,4.9,5500000
93,5.7,1500000
84,6.5,650000
93,3.4,60000
93,5.8,2.30E+07
129,6.4,4.00E+07
136,6.9,2.50E+07
95,5.4,35200000
86,5.4,1.40E+07
78,4.2,1.00E+07
123,6.2,3.50E+07
101,6.9,3.10E+07
325,6.8,4.40E+07
108,7.4,5.00E+06
90,6.7,9300000
95,7.8,6.00E+06
93,6.1,1.90E+07
89,5.1,8.00E+06
105,6.8,1.00E+06
96,7.8,3950000
132,6.8,6.60E+07
120,7,8.50E+07
86,7,1.00E+06
137,7.7,9.00E+06
126,8,2.30E+07
101,4.7,5.00E+07
101,6,1.00E+08
105,6.5,4.20E+07
129,6.5,5.00E+07
80,7.9,3.10E+07
106,7.1,7.00E+06
76,5.9,3.00E+06
136,6.7,1.00E+08
96,7.2,NA
101,5.9,3.00E+07
94,6.7,3400000
115,6.3,4.20E+07
113,7.6,2.00E+07
86,6.2,1.00E+07
85,8.1,750000
105,7.6,5500000
87,5.4,NA
98,5.2,4200000
111,4.8,7.00E+06
112,4.5,1.10E+07
109,6.3,NA
110,7.2,1.60E+07
101,4.6,1.50E+07
97,6.3,1.40E+07
92,6.9,1.10E+07
118,6.6,7.00E+07
94,6.3,2.40E+07
96,5.8,1.00E+06
86,6.1,3.00E+06
96,6.7,2.80E+07
140,6.6,3.50E+07
117,7.1,2.00E+07
119,5.7,9.50E+07
112,6.6,1.60E+07
116,5.3,7.50E+07
81,7,1.00E+05
114,4.9,6.00E+07
115,7.1,NA
94,6.7,1.35E+08
103,7.5,1.80E+07
120,6.6,1.80E+07
103,6.6,2.00E+07
91,5,1.50E+07
76,5.4,1.10E+08
113,6,1200000
100,6.5,2.20E+07
94,5.3,2.50E+07
80,6.5,17500000
142,6.7,7.00E+07
170,8.3,7.00E+05
91,5.6,1.50E+07
95,5.5,6.30E+07
114,5.9,3.00E+07
100,6.3,3.00E+07
106,6.9,3.50E+07
116,6.3,4.20E+07
113,6.6,5.20E+07
93,5.9,4800000
94,5.4,1.00E+07
121,7.9,8.00E+06
87,5.1,3.50E+07
88,6.7,NA
101,6.4,3.60E+07
99,5.1,1.40E+07
100,5.4,3.50E+07
121,8.1,17500000
91,7.1,8.50E+07
89,6.7,8.00E+07
101,5.6,6900000
105,6,7.00E+06
96,7,6.00E+06
126,7.6,1.50E+07
108,5.3,3.00E+07
93,5.6,1.90E+07
94,5.1,5.00E+06
107,6.8,350000
121,5.3,1.20E+08
118,7.8,1250000
93,6.2,1.20E+07
94,3.3,NA
124,5.5,2.00E+07
110,6,1.23E+08
93,5.3,NA
110,6.1,3.80E+07
101,5.7,1.60E+07
84,6.3,4.00E+06
116,6.4,5.00E+07
110,6.5,2.70E+07
98,8.2,1.65E+08
102,7.9,1.45E+08
110,4.6,3.50E+07
140,7.5,NA
112,7.9,2500000
100,5.7,7.00E+07
126,7.5,1.70E+08
138,5.7,1.37E+08
NA,2.8,NA
99,7.1,2200000
86,6.5,5.00E+05
116,7.4,8.00E+06
135,7,2.00E+07
104,7.2,1.50E+08
109,6.1,6.00E+07
132,7.6,2.20E+07
92,5.2,1.80E+07
89,4.9,2.40E+07
114,5.6,3.40E+07
93,3.9,3500000
107,6.7,2.20E+07
105,5.3,NA
99,5.6,1.70E+07
102,6.6,1.30E+07
102,5.3,1.80E+07
86,5.4,NA
105,7.1,4.00E+07
111,5.4,1650000
75,7,250000
106,7.3,NA
105,6.3,2.00E+06
97,5.4,7.00E+07
100,4.6,2.40E+07
94,5.5,NA
80,6.2,1500000
92,5.1,6.50E+07
115,7.1,1.20E+08
103,7.6,5.90E+07
88,6.6,9.50E+07
94,7,9.00E+07
115,6.9,8.00E+07
98,6,NA
82,7.4,NA
91,7.3,3.00E+07
120,5.7,3.50E+07
84,6.6,NA
92,6.2,2.00E+07
121,6.2,1.50E+07
107,6.8,1.10E+07
99,7,9.00E+06
119,6.2,NA
111,7.3,4.00E+06
90,6.9,7900000
107,5.6,5.50E+07
110,6.1,7.50E+07
102,6.2,4.00E+07
90,6.3,3.50E+07
107,8,1.50E+07
134,8,3500000
100,5.5,3.00E+07
109,6.5,2.60E+07
88,4.1,1.00E+06
138,7.5,1700000
97,7.3,25000
113,5.3,1.20E+07
122,7,1.00E+08
127,4.3,1.30E+07
97,6.5,1.00E+07
156,3.8,6.00E+07
100,8.1,2.00E+06
121,7.2,NA
109,6.7,4.00E+07
95,6.1,7.00E+06
139,8.2,6800000
148,8.8,1.60E+08
94,6.6,1400000
154,6.9,7.50E+07
120,5.5,1.65E+08
122,6.2,1.85E+08
127,8.3,4.80E+07
118,7.6,2.80E+07
103,7.7,1.00E+05
110,7.8,NA
93,5.2,4.00E+06
118,7.1,1.30E+07
153,8.3,7.50E+07
148,6.7,2.00E+07
107,7,NA
106,6.1,6.00E+07
89,6.8,2.00E+06
105,8.3,NA
104,7.4,1.10E+07
129,7.6,4.50E+07
95,8.3,1.75E+08
103,6.8,1500000
106,6.6,5.00E+06
97,6.1,1.00E+07
118,7.2,4.60E+07
110,4.1,7.50E+07
126,6.5,5.50E+07
119,6.3,1.10E+08
169,8.6,1.65E+08
88,6.6,750000
110,5.8,5.00E+07
94,5.3,1.00E+07
89,5.8,5.00E+07
148,8.2,1.50E+07
125,6,5.00E+07
100,6.3,6.00E+07
123,8,385907
100,5.5,1.20E+07
107,5.3,1.00E+07
134,7.4,6.00E+07
101,6.5,3500000
75,7.7,750000
91,7.1,5500000
126,7.9,1.40E+08
124,7,2.00E+08
195,7.2,2.00E+08
121,6.2,2.50E+07
107,4.2,5.10E+07
95,5.3,3.60E+07
197,7.6,9400000
118,8.6,3180000
90,7.4,NA
120,6.6,8.50E+07
101,7.2,8.00E+06
100,6.9,2.00E+06
65,8.2,325000
137,6.6,3.50E+07
176,6.9,7217600
91,3.4,7.90E+07
90,6,2500000
130,7,6.00E+07
105,6.2,6.00E+07
114,6.3,1.95E+08
101,7.1,2.00E+07
92,7.1,NA
87,6.6,5.00E+06
154,7.5,1.20E+07
107,5.1,5.00E+07
120,6.5,1.50E+07
98,5.8,2.50E+07
125,7.1,7.00E+07
123,7.1,1.20E+08
91,4.3,2500000
85,4.4,1.10E+07
87,5.4,3500000
130,8,8.00E+06
131,5.7,2.00E+07
92,2.8,2.30E+07
104,6.9,2.20E+07
90,6.1,1.00E+07
83,6.5,1.00E+07
139,5.7,1.40E+07
107,5.1,1.60E+07
139,7.3,5.00E+07
134,6.9,4.00E+07
102,6.2,3.50E+07
107,7,2500000
206,8,4.00E+07
99,6.2,1.00E+06
82,6,3.00E+07
118,6.4,1.50E+07
94,5.4,6.00E+07
117,6.9,4.00E+06
91,5.9,17700000
98,5.5,3.80E+07
132,6.6,263700000
116,7,3.60E+07
87,6.1,3.50E+07
101,6.3,4.50E+07
97,5.8,5.00E+05
97,4.3,1.20E+07
81,4.7,4.70E+07
82,6.6,1.40E+07
98,5.3,2.20E+07
94,5.8,7.90E+07
93,5.8,4.50E+07
124,6.6,6.00E+07
97,6.6,2.30E+07
118,5.7,2.50E+07
186,8.3,3.00E+06
117,7.4,7840000
123,7,4.00E+07
88,6.1,8.50E+07
112,5.7,6600000
96,7.5,7500000
127,5.4,1.76E+08
127,8.1,6.30E+07
92,5.9,9.30E+07
124,7,1.50E+08
117,6.4,8.00E+07
95,6.7,5.80E+07
97,6.7,3.00E+06
95,5.4,1.80E+07
103,5.3,2.80E+07
84,5.8,4.00E+07
100,5.8,NA
115,1.6,1.30E+07
91,4.5,15600000
138,6.7,1.00E+08
120,7.4,4.80E+07
89,4.4,6.00E+07
116,6.3,1.90E+07
NA,7,1.00E+06
123,6.4,4.80E+07
93,5.9,1.20E+07
100,6.4,1.50E+07
128,6.4,3.00E+07
90,5.4,NA
89,7.5,NA
75,6.7,2500000
141,4.3,NA
85,5.8,2.00E+07
117,7.7,3.00E+07
103,6.6,2.80E+07
90,9.1,1.70E+07
95,5.6,4.50E+07
80,7.8,NA
91,7,1500000
111,8.1,3.00E+07
137,8,3.00E+07
95,6.3,5.00E+05
112,7,5.00E+06
116,6.5,3.50E+07
98,6.7,1.10E+07
100,5.4,7.50E+07
97,6.2,1.50E+07
99,6.5,1500000
111,6,2.60E+07
95,4.1,1.50E+07
201,7.2,2.07E+08
194,7.2,1.30E+08
97,5.9,5.00E+05
117,6.9,2.70E+07
118,7.1,1.10E+07
103,7.6,1.50E+07
101,5.9,4.00E+07
98,6.6,2.50E+07
100,5.7,5.00E+05
115,6.6,2.70E+07
97,6.7,1.00E+06
101,6.7,1.00E+07
90,6,6.00E+08
117,6.3,1.17E+08
91,4.8,3.50E+07
92,6.1,NA
133,7,3.00E+07
121,6.2,5.00E+07
98,6.2,1.50E+07
116,6,2.70E+07
97,6.6,3.00E+06
134,7,2.80E+07
100,6.5,2.50E+07
92,7.6,1.30E+08
90,7.3,1.50E+08
95,7.2,1.45E+08
81,6.2,1.00E+07
100,5.7,930000
138,8.3,3.50E+07
108,6.8,6500000
106,7.4,1.10E+07
106,6.8,3500000
111,6.9,1.80E+07
115,6.5,5.50E+07
110,5.6,7.00E+07
118,6.7,4700000
121,7,2.00E+07
144,8.2,1.20E+08
89,6.1,1400000
152,8.3,NA
82,5.6,2.70E+07
110,6.1,2.20E+07
97,6.2,1.50E+07
102,5.4,1.00E+08
117,5.5,9.50E+07
100,5.7,1.15E+08
98,6.1,3.00E+07
89,3.1,4.00E+06
106,7.4,1.20E+07
130,6.2,7.00E+07
112,6.4,4.50E+07
109,7,1.20E+07
105,6.6,2.80E+07
107,7.2,850000
118,7.4,5.00E+07
227,8.4,1.50E+07
90,5.9,2.80E+07
105,7.4,4.00E+06
93,7.2,3850000
100,6.4,1.90E+07
114,6,5.80E+07
111,7.6,3600000
110,3.1,1.60E+07
116,5.9,4.00E+07
96,6.2,1.80E+07
95,4.6,4.50E+07
132,7,3.00E+07
101,7,8.00E+07
88,5.6,7.00E+07
133,7.5,3.00E+07
100,5.2,2.60E+07
158,7.6,6.10E+07
107,7,5.00E+07
104,6.5,1.70E+07
90,6,NA
82,5.4,5.00E+06
116,7.2,2.00E+07
121,6.7,3.50E+07
127,6.6,1.40E+08
141,7.9,1.90E+07
110,6.3,3500000
105,6.5,3.00E+07
86,6.8,4.50E+07
133,6.6,3.20E+07
91,5.3,3.50E+07
125,7.5,1.80E+07
98,6.5,NA
127,8,1.20E+08
103,5.8,4.00E+07
101,6.1,2.50E+07
99,6,1.30E+07
103,6.8,5.00E+06
81,6.9,4900000
90,6.7,250000
99,5.1,3.00E+07
85,7.2,8.00E+07
126,7.1,8.00E+06
150,7.4,6.50E+07
156,8.4,3.50E+07
92,6.2,3.50E+07
90,5.7,NA
100,5.6,NA
105,5.2,3.50E+07
106,7.4,2.00E+07
137,7.6,2.60E+07
98,5.5,1.00E+08
101,7.9,8.00E+06
90,5.3,8.00E+07
102,6.9,2.50E+07
97,7,NA
115,7.3,1.50E+07
121,6.8,7.00E+06
129,7.2,1.10E+08
100,6.6,1.20E+07
120,8.2,960000
95,6.1,2.00E+07
119,6.8,9.00E+06
97,4.3,1.10E+07
152,7.7,2.00E+06
92,6.6,14000
99,5.9,6.00E+07
85,7,5.00E+05
135,7.6,5.00E+06
121,7.6,4.00E+07
107,6.3,5.00E+06
91,6.6,5.00E+05
91,5.7,8.00E+07
119,7.4,3.00E+07
110,7.3,NA
122,7.6,5.00E+07
107,7.1,2.50E+07
98,5.3,2.00E+07
100,4.8,7.00E+06
130,5.1,8.00E+07
101,7.8,4.00E+06
97,4.8,2.80E+07
99,4.9,NA
87,7.2,3.00E+06
124,7.2,1.50E+07
112,6.7,3.00E+07
129,7.7,4.50E+07
93,7.1,NA
76,6.4,250000
109,5.6,1.80E+07
139,6.4,4.50E+07
104,7.4,1.00E+07
88,6.1,550000
89,6.2,1.00E+06
117,5.7,2.50E+07
94,5.8,4.00E+06
107,5.7,1.70E+07
91,6.9,250000
90,7.3,5.00E+06
76,6.7,1.00E+06
107,6.2,6.00E+06
110,7.8,2.70E+07
105,5,6.50E+07
124,5.9,5.50E+07
89,6.4,4.00E+07
95,5.5,1.00E+07
105,6.7,10500000
107,5.6,2.00E+07
129,6.8,3.00E+07
115,6.2,5.00E+07
105,7.5,NA
93,7,2.00E+05
107,6.2,12305523
120,8.1,1.50E+08
104,5.8,2.20E+07
86,6.9,7.50E+07
93,6.9,1.45E+08
89,6.7,1.50E+08
95,6.4,5.00E+06
113,7.2,7200000
101,5.8,4.00E+07
107,5,6.00E+06
114,4.8,2.00E+07
103,4.1,NA
94,6.5,NA
95,5.6,8500000
110,6.1,7.00E+06
115,5.7,14800000
188,8,3.70E+07
105,5.1,5.50E+07
152,6.8,3800000
107,7.2,1.10E+07
202,7.7,3.30E+07
97,7,1.80E+08
86,5.1,1.60E+07
123,7.2,6.00E+06
92,5.6,1.00E+07
100,6.2,2.00E+07
92,6.7,5.00E+06
108,6.3,5.20E+07
143,7.2,2.25E+08
100,5.4,4.00E+07
115,6.2,2.00E+07
102,6.6,4.20E+07
146,7.7,7.00E+07
118,7.4,5.20E+07
90,7.8,1.00E+06
141,7.1,3.50E+07
139,7.4,14200000
89,6.1,6.00E+06
79,7,24000
117,7.4,NA
107,6.3,9.00E+06
80,2.8,2.00E+07
186,6.5,1.40E+07
107,7.1,3500000
123,6.4,4.00E+07
115,7.1,6.00E+07
87,4.2,5.00E+07
91,6.3,1.20E+07
106,6.3,7.00E+07
88,5.4,1.50E+08
102,6.9,NA
106,6.8,2.70E+07
113,5.4,3.00E+06
98,6.7,2.30E+07
139,7.8,6.00E+06
108,5.8,4.70E+07
112,5.5,NA
138,7.4,1.50E+08
119,7.7,1.50E+07
140,7.8,2600000
111,6.8,2.00E+07
91,5.3,1.20E+07
103,5.4,3.50E+07
101,5.4,2.50E+07
93,6.7,5.00E+05
129,7.4,1.70E+07
107,6.8,2.50E+07
91,7.4,2.00E+06
110,7.6,2.00E+07
116,6.5,5.10E+07
90,7.3,5.00E+05
97,7,1.70E+07
99,6.5,2500000
112,7.4,5.00E+05
106,6,4.00E+07
104,6.5,NA
90,4.9,6.00E+07
178,7.1,9.00E+07
93,3.9,2.40E+07
106,6.3,8.00E+07
108,7,5.50E+07
86,2.7,3.00E+07
99,3.5,2.00E+07
95,7.3,1.30E+08
104,4.1,2.20E+07
130,7.1,7400000
113,8.5,9.00E+06
145,7.3,8.50E+07
99,5.9,4.00E+07
98,7.3,9.00E+07
106,6.8,2.25E+08
88,6.1,1.40E+08
129,7.2,3.20E+07
76,5.8,8600000
102,6,7500000
97,7.5,3500000
111,6.1,6.00E+07
106,5.6,6.00E+05
131,6.1,5.50E+07
108,4.9,1.60E+07
145,8.3,6.00E+06
98,7.5,225000
119,7.3,2.50E+07
133,7.1,2.80E+07
46,7.5,NA
102,5.8,4.00E+07
97,6.5,2.00E+05
113,7.9,3600000
94,7.7,1.70E+07
155,6.6,3.00E+07
126,7.6,3.00E+07
112,6.7,1.80E+07
114,5.6,9.00E+07
128,7.6,2.00E+07
124,7,2.50E+07
132,8.1,3.00E+07
101,6.4,2.70E+07
91,6.4,7.40E+07
145,7.7,1.02E+08
135,7.5,2.80E+07
160,6,4.50E+07
109,6.8,1.30E+07
106,5.6,8.50E+07
101,6.9,4.00E+06
112,6.2,3.50E+07
106,5.3,1.10E+07
109,6.2,4.50E+07
115,5,4.50E+07
129,5.6,5500000
90,5.1,6.00E+06
88,7,3.00E+07
114,5.6,9.00E+07
110,7.1,8.00E+07
133,7.4,1.45E+08
131,7.4,1.50E+08
123,6.1,1.25E+08
124,6.9,1.50E+08
129,6.5,1.00E+07
115,7.4,4500000
93,5,8.00E+06
87,8.6,1500000
120,7.3,1.60E+07
102,5.8,2.10E+07
129,6.7,5.00E+06
98,5.4,5.00E+06
117,6.4,6.50E+07
98,6.7,2.70E+07
97,6.1,2.50E+07
105,5.6,6.80E+07
133,7.6,5.00E+07
93,4.7,7.50E+07
114,7.4,7.00E+06
109,7.3,4500000
112,7.1,4.00E+06
101,5.5,6.00E+07
91,6.6,7.50E+07
94,6.4,5.00E+05
104,7.3,2.00E+08
92,8.1,1.15E+08
109,5.8,2.00E+07
91,8.3,229575
97,7.9,5.00E+06
112,6.7,2.10E+07
126,6.3,3.40E+07
94,7.8,1.60E+07
107,6.5,4.00E+07
101,5.8,1.80E+07
95,3.7,3.00E+07
107,5.5,6.00E+07
97,6.7,NA
125,7.2,4825000
90,4.7,5.00E+06
127,7.6,52500000
94,4.3,6.00E+06
126,6.5,1.20E+08
90,6.3,2.50E+07
104,8,8.00E+06
96,5.8,5.00E+07
143,7.3,6500000
92,6.9,1.45E+08
94,6,5.50E+07
120,8.2,1500000
150,6.8,8200000
103,7.1,2.00E+07
125,6.9,2.50E+07
105,6.2,2.50E+07
111,7.4,8.00E+06
130,7.4,1.00E+07
88,7.5,9.00E+07
147,8,1.50E+07
117,6,4.50E+07
112,6.9,2.80E+07
163,7.6,7.00E+07
87,6.2,2.40E+07
119,6.4,5.00E+07
115,6.1,5.00E+07
88,7.8,1750211
95,6.5,NA
98,5.9,3.00E+07
82,2.8,1500000
109,6.9,NA
86,4.5,NA
97,6.9,650000
112,5.9,4.00E+07
105,6.3,4.60E+07
95,6.6,5.00E+06
94,6.1,1.80E+07
80,3.3,3.00E+06
101,5.5,1.50E+07
95,6.7,1.00E+07
90,4.6,1.40E+07
120,7.5,1.10E+07
90,6.6,1100
95,7,5.00E+06
83,6.9,NA
170,7.9,1.70E+07
94,4.9,6.50E+07
101,6.5,21500000
102,6.8,16500000
90,5.7,1.00E+06
98,5.9,1.70E+07
106,7.6,2.00E+06
84,6.3,1500000
128,8,1.20E+07
104,7.1,2500000
109,7.4,3.00E+07
107,4.8,2.50E+07
86,6.8,1700000
95,5.1,3.00E+07
99,7,6400000
121,6,6.50E+07
119,6.7,2.80E+07
104,6.2,6.00E+06
138,8,2.50E+07
92,5.7,3.20E+07
128,7.3,NA
99,5.9,2.00E+07
97,6.6,2.50E+07
92,6.9,4.00E+05
105,7.2,7500000
98,7.4,1.50E+07
131,6.9,1.00E+08
107,6.5,7.00E+05
97,3.4,NA
115,7.8,1.20E+07
132,6.5,6.60E+07
97,6.4,1.80E+07
92,6,3.50E+07
96,7.1,2.00E+07
121,8.1,3800000
98,6,5.00E+05
110,6.6,2.00E+07
90,5.8,3.00E+06
103,7.2,1.50E+07
121,6.2,3.60E+07
97,5.6,8.00E+06
107,6.4,8.00E+06
113,5.7,5.60E+07
91,4.8,3.00E+07
124,6.4,1.50E+07
136,6.7,1.40E+07
95,6.4,9000
84,5.9,3.00E+06
98,6.1,9500000
104,6.7,1.00E+06
92,7.1,1250000
132,7.2,1.00E+07
90,6.7,9.00E+06
108,6.4,1.10E+08
105,5.9,1.50E+08
98,6.2,1.27E+08
96,8,114000
104,6.5,4200000
117,7.9,8500000
99,6.4,5.00E+06
96,6,3.70E+07
118,5.8,8.00E+07
83,5.5,2.00E+06
99,6.4,4.00E+07
212,7.1,5.00E+07
122,8.1,2.50E+07
102,8.3,2.00E+06
103,6.8,5.00E+06
84,5.6,13200000
88,4.9,2.00E+06
104,6.3,2.80E+07
108,6.2,2.50E+07
138,5.8,1.25E+08
106,7,5.00E+07
126,7.3,3.50E+07
103,6.4,1900000
99,5.7,1.60E+07
93,5.1,6.00E+05
99,6.1,8.00E+06
92,7.4,1.50E+07
90,6.3,NA
98,6.7,2.50E+07
124,7,4.20E+07
95,5.8,6.00E+06
103,7.2,NA
125,7.3,7.50E+07
129,6.9,9.00E+07
98,7.2,NA
94,5.5,1.50E+07
110,6.3,2.40E+07
109,4.3,6.50E+07
95,6.2,5.00E+06
107,7.8,2.60E+07
124,7,1.20E+08
86,5.8,1.80E+07
84,6.8,NA
116,7.8,8.50E+07
122,6.9,8.50E+07
125,6.4,1.10E+08
104,7.8,4.00E+07
107,6.8,NA
131,6.6,27500000
104,6.5,5.00E+06
89,7.8,1.00E+07
88,5.4,3.50E+07
76,6.7,3.00E+05
88,7.2,2.40E+07
120,8.4,3.00E+06
130,6.9,5.00E+07
153,7.5,1.00E+07
119,6.5,7.00E+07
101,4.4,5.00E+07
142,6.8,7.00E+06
85,4.1,1.60E+07
86,6.9,NA
137,6.1,2.50E+07
108,8.2,910000
85,7.9,180000
97,7.3,1.00E+06
251,8.4,3.00E+07
102,6.4,2.90E+07
111,6.8,1.20E+07
107,7,1.50E+07
106,4.1,1.00E+07
133,8.7,4400000
91,5.3,4.00E+07
96,6.8,1.20E+07
121,6.2,11350000
87,3.9,2.70E+07
123,6.3,2.00E+07
127,7,3.00E+07
90,5.7,4800000
99,6.7,6.00E+06
139,7.5,2.20E+07
85,5.5,3.00E+06
83,6.2,8.50E+07
68,7.1,NA
79,5.7,5.00E+05
126,8.1,NA
124,7.8,6.00E+06
92,6.2,1.00E+06
118,6,4.20E+07
123,7,NA
83,7.4,46000
132,6.7,1.60E+07
95,6.2,7.00E+07
89,4.4,5.00E+06
107,6.1,2.80E+07
103,4.9,1.40E+07
90,6.4,5.00E+06
108,6.4,NA
89,6.3,1.10E+07
161,7.2,3.10E+07
123,7,4.80E+07
100,7.3,NA
92,4.7,NA
116,6.8,2.20E+07
114,6.5,5.00E+07
127,6.6,5.00E+07
96,6.4,7.00E+06
95,5.2,1.00E+07
83,6.8,8.00E+07
104,7.2,1.00E+07
126,7.1,3.00E+07
133,7.2,1.50E+08
131,7,1.90E+08
95,7.2,5.50E+07
129,6.5,2.60E+07
158,6.7,2.00E+07
115,7.3,6900000
100,6.3,NA
111,5.8,1.50E+08
124,6.6,1.50E+07
108,6.8,3.30E+07
112,6.8,4.80E+07
84,5.8,2.00E+07
109,6.4,1.20E+07
84,6.3,15000
98,5.7,3.00E+06
94,5.8,5.00E+06
96,4.6,5.00E+06
101,5,5.00E+06
92,7,6.00E+07
105,6.1,2.50E+07
120,7.3,1.30E+07
118,6.2,3.50E+07
98,6.3,5.00E+06
114,6.5,2.00E+07
106,7.4,4638783
115,6.7,5.00E+07
